"STATISTIÈNA REGIJA";"LETO";"Povpreèna stopnja registrirane brezposelnosti po regiji stalnega prebivališèa [%]";"Število prebivalcev na 1 zdravnika [število]";"Število študentov v terciarnem izobraževanju na 1.000 prebivalcev po regijah stalnega prebivališèa [število/1.000 prebivalcev]";"Delež obsojenih oseb med prebivalci regije po regiji stalnega prebivališèa [%]"
"Pomurska";"2005";17.1;606.4;...;0.44
"Pomurska";"2006";15.7;614.1;...;0.53
"Pomurska";"2007";13.4;622.3;45.3;0.61
"Pomurska";"2008";12.2;614.1;46.4;0.59
"Pomurska";"2009";15.9;581.0;47.5;0.49
"Pomurska";"2010";19.0;552.5;45.4;0.49
"Pomurska";"2011";18.0;529.5;45.1;0.46
"Pomurska";"2012";17.3;506.7;43.6;0.52
"Pomurska";"2013";17.8;480.3;39.6;0.59
"Pomurska";"2014";18.4;451.8;36.3;0.48
"Pomurska";"2015";18.9;428.1;33.5;0.36
"Podravska";"2005";13.5;438.6;...;0.41
"Podravska";"2006";12.7;433.0;...;0.46
"Podravska";"2007";10.4;432.4;49.5;0.49
"Podravska";"2008";9.1;439.6;48.9;0.56
"Podravska";"2009";11.9;442.0;50.0;0.57
"Podravska";"2010";13.5;422.2;46.2;0.52
"Podravska";"2011";14.5;421.5;44.4;0.50
"Podravska";"2012";14.1;393.5;43.3;0.53
"Podravska";"2013";14.7;382.9;40.4;0.62
"Podravska";"2014";14.4;359.3;37.2;0.51
"Podravska";"2015";13.6;355.6;34.7;0.36
"Koroška";"2005";10.6;535.5;...;0.55
"Koroška";"2006";10.1;542.1;...;0.45
"Koroška";"2007";8.1;518.3;57.8;0.41
"Koroška";"2008";7.3;512.9;58.7;0.44
"Koroška";"2009";10.9;516.6;56.6;0.41
"Koroška";"2010";13.1;555.1;55.8;0.42
"Koroška";"2011";13.3;477.1;53.2;0.40
"Koroška";"2012";12.2;427.6;49.5;0.47
"Koroška";"2013";13.9;359.7;46.8;0.55
"Koroška";"2014";13.0;344.9;42.6;0.33
"Koroška";"2015";11.5;349.1;38.9;0.27
"Savinjska";"2005";12.7;546.8;...;0.32
"Savinjska";"2006";11.6;544.6;...;0.35
"Savinjska";"2007";9.4;543.1;57.2;0.36
"Savinjska";"2008";8.0;548.2;57.9;0.35
"Savinjska";"2009";10.3;520.5;57.8;0.35
"Savinjska";"2010";11.8;511.9;53.6;0.39
"Savinjska";"2011";12.7;488.0;51.3;0.30
"Savinjska";"2012";12.7;476.3;48.9;0.33
"Savinjska";"2013";13.9;440.0;46.0;0.49
"Savinjska";"2014";13.9;428.9;42.1;0.43
"Savinjska";"2015";13.3;400.4;39.3;0.29
"Zasavska";"2005";13.8;688.9;...;0.43
"Zasavska";"2006";12.0;666.3;...;0.30
"Zasavska";"2007";9.7;675.3;52.8;0.52
"Zasavska";"2008";8.2;679.7;52.1;0.50
"Zasavska";"2009";11.0;657.9;50.1;0.46
"Zasavska";"2010";11.9;695.0;47.6;0.52
"Zasavska";"2011";13.3;648.6;48.6;0.46
"Zasavska";"2012";14.7;583.7;44.3;0.42
"Zasavska";"2013";16.6;585.7;40.3;0.66
"Zasavska";"2014";17.7;578.7;37.7;0.45
"Zasavska";"2015";15.2;564.4;35.9;0.18
"Posavska";"2005";11.5;768.6;...;0.40
