"STATISTIÈNA REGIJA";"LETO";"Skupni koeficient starostne odvisnosti [število]";"Koeficient starostne odvisnosti mladih [število]";"Koeficient starostne odvisnosti starih [število]";"Delež otrok v vrtcih [%]"
"Pomurska";"1995";45.8;25.8;20.0;...
"Pomurska";"1996";46.3;25.7;20.6;...
"Pomurska";"1997";45.5;24.8;20.7;...
"Pomurska";"1998";44.9;23.9;21.0;...
"Pomurska";"1999";44.2;23.1;21.1;...
"Pomurska";"2000";43.5;22.3;21.2;...
"Pomurska";"2001";42.9;21.6;21.4;...
"Pomurska";"2002";42.6;21.1;21.5;...
"Pomurska";"2003";42.0;20.4;21.6;...
"Pomurska";"2004";41.5;19.9;21.6;...
"Pomurska";"2005";41.2;19.5;21.8;...
"Pomurska";"2006";41.1;19.1;22.0;63.4
"Pomurska";"2007";41.2;18.8;22.4;65.8
"Pomurska";"2008";41.4;18.6;22.8;69.1
"Pomurska";"2009";43.4;19.0;24.4;73.6
"Pomurska";"2010";44.1;19.1;25.0;76.3
"Pomurska";"2011";44.2;19.0;25.2;77.9
"Pomurska";"2012";44.5;18.9;25.6;76.1
"Pomurska";"2013";45.5;19.0;26.5;75.4
"Pomurska";"2014";46.7;19.3;27.4;74.8
"Pomurska";"2015";48.0;19.5;28.5;76.0
"Pomurska";"2016";49.5;19.7;29.8;...
"Podravska";"1995";41.5;24.5;17.0;...
"Podravska";"1996";42.1;24.3;17.8;...
"Podravska";"1997";41.9;23.6;18.3;...
"Podravska";"1998";41.5;22.8;18.7;...
"Podravska";"1999";41.4;22.1;19.3;...
"Podravska";"2000";41.1;21.4;19.7;...
"Podravska";"2001";40.9;20.8;20.1;...
"Podravska";"2002";41.0;20.3;20.7;...
"Podravska";"2003";41.0;19.8;21.2;...
"Podravska";"2004";40.8;19.3;21.5;...
"Podravska";"2005";40.9;19.0;21.9;...
"Podravska";"2006";41.1;18.8;22.3;61.5
"Podravska";"2007";41.3;18.6;22.8;65.3
"Podravska";"2008";41.7;18.3;23.4;68.9
"Podravska";"2009";42.7;18.5;24.2;71.4
"Podravska";"2010";43.4;18.6;24.8;73.2
"Podravska";"2011";43.7;18.7;25.0;76.1
"Podravska";"2012";44.1;18.8;25.3;75.1
"Podravska";"2013";45.0;19.1;25.9;75.0
"Podravska";"2014";46.0;19.4;26.6;76.4
"Podravska";"2015";47.2;19.8;27.5;77.2
"Podravska";"2016";48.6;20.1;28.5;...
"Koroška";"1995";42.5;27.9;14.7;...
"Koroška";"1996";42.4;27.1;15.3;...
"Koroška";"1997";41.9;26.2;15.8;...
"Koroška";"1998";41.8;25.5;16.3;...
"Koroška";"1999";41.6;24.8;16.8;...
"Koroška";"2000";41.4;24.1;17.3;...
"Koroška";"2001";41.1;23.3;17.8;...
"Koroška";"2002";40.8;22.6;18.2;...
"Koroška";"2003";40.4;21.8;18.6;...
"Koroška";"2004";40.1;21.1;19.0;...
"Koroška";"2005";40.1;20.7;19.5;...
"Koroška";"2006";40.1;20.2;20.0;57.4
"Koroška";"2007";40.5;19.9;20.6;58.5
"Koroška";"2008";40.8;19.7;21.1;62.6
"Koroška";"2009";42.8;20.3;22.5;64.9
"Koroška";"2010";43.5;20.4;23.1;66.0
"Koroška";"2011";43.8;20.4;23.4;70.2
"Koroška";"2012";44.4;20.6;23.8;70.3
"Koroška";"2013";45.3;20.8;24.6;68.8
"Koroška";"2014";46.3;20.8;25.4;70.7
"Koroška";"2015";47.3;21.0;26.3;72.6
"Koroška";"2016";48.4;21.1;27.3;...
"Savinjska";"1995";43.9;27.7;16.2;...
