"Kazalnik ekonomske rasti, Slovenija, statistiène regije, letni podatki do 2015"

"KAZALNIK";"STATISTIÈNA REGIJA";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Regionalni bruto domaèi proizvod na prebivalca, indeks ravni [Slovenija vsa leta = 100]";"SLOVENIJA";100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
"Regionalni bruto domaèi proizvod na prebivalca, indeks ravni [Slovenija vsa leta = 100]";"Pomurska";70.4;69.9;69.0;67.2;67.6;66.5;65.0;64.1;63.4;64.4;64.2;66.0;67.0;68.1;68.1;66.5
"Regionalni bruto domaèi proizvod na prebivalca, indeks ravni [Slovenija vsa leta = 100]";"Podravska";82.3;82.3;83.4;81.8;82.2;82.3;82.9;83.4;83.8;83.2;82.5;83.0;82.8;82.6;83.2;82.7
"Regionalni bruto domaèi proizvod na prebivalca, indeks ravni [Slovenija vsa leta = 100]";"Koroška";84.3;85.2;81.7;79.6;78.7;79.4;77.6;77.2;76.7;74.1;74.2;76.6;78.7;79.5;80.2;80.8
"Regionalni bruto domaèi proizvod na prebivalca, indeks ravni [Slovenija vsa leta = 100]";"Savinjska";90.1;88.6;89.8;88.5;88.5;89.1;87.5;87.4;89.5;88.7;90.6;91.8;91.9;91.5;91.5;92.1
"Regionalni bruto domaèi proizvod na prebivalca, indeks ravni [Slovenija vsa leta = 100]";"Zasavska";73.6;71.1;66.9;64.0;63.3;63.7;61.8;60.6;60.6;60.4;61.0;60.5;58.7;58.8;56.5;53.8
"Regionalni bruto domaèi proizvod na prebivalca, indeks ravni [Slovenija vsa leta = 100]";"Posavska";83.7;83.1;84.7;79.3;79.1;80.9;79.3;79.3;80.1;81.5;81.6;82.9;83.2;84.1;84.1;83.5
"Regionalni bruto domaèi proizvod na prebivalca, indeks ravni [Slovenija vsa leta = 100]";"Jugovzhodna Slovenija";98.0;96.7;96.8;96.0;97.3;95.5;97.6;96.9;96.6;94.7;95.2;94.9;93.9;95.0;95.8;96.0
"Regionalni bruto domaèi proizvod na prebivalca, indeks ravni [Slovenija vsa leta = 100]";"Osrednjeslovenska";139.9;141.4;141.3;146.0;145.7;146.5;147.9;147.4;145.1;146.9;145.3;144.2;145.1;143.8;142.1;141.3
"Regionalni bruto domaèi proizvod na prebivalca, indeks ravni [Slovenija vsa leta = 100]";"Gorenjska";88.6;89.5;89.0;88.3;88.5;87.0;85.4;85.4;84.5;81.0;82.8;82.9;83.2;85.7;87.8;87.9
"Regionalni bruto domaèi proizvod na prebivalca, indeks ravni [Slovenija vsa leta = 100]";"Primorsko-notranjska";80.8;78.0;77.4;75.5;74.7;73.1;72.5;72.3;72.3;72.8;70.5;69.9;68.8;70.2;71.8;73.8
"Regionalni bruto domaèi proizvod na prebivalca, indeks ravni [Slovenija vsa leta = 100]";"Goriška";97.4;97.4;97.0;95.3;93.9;93.7;92.8;94.8;95.4;94.2;93.6;92.2;91.1;90.6;90.6;91.7
"Regionalni bruto domaèi proizvod na prebivalca, indeks ravni [Slovenija vsa leta = 100]";"Obalno-kraška";106.5;105.8;106.1;105.9;105.5;104.5;105.2;105.6;107.1;108.1;108.7;106.1;101.4;98.3;97.5;100.2
