"Kazalniki varnosti, Slovenija, statistiène regije, letni podatki do 2015"

"KAZALNIK";"STATISTIÈNA REGIJA";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Povpreèna stopnja registrirane brezposelnosti po regiji stalnega prebivališèa [%]";"SLOVENIJA";10.2;9.4;7.7;6.7;9.1;10.7;11.8;12.0;13.1;13.1;12.3
"Povpreèna stopnja registrirane brezposelnosti po regiji stalnega prebivališèa [%]";"Pomurska";17.1;15.7;13.4;12.2;15.9;19.0;18.0;17.3;17.8;18.4;18.9
"Povpreèna stopnja registrirane brezposelnosti po regiji stalnega prebivališèa [%]";"Podravska";13.5;12.7;10.4;9.1;11.9;13.5;14.5;14.1;14.7;14.4;13.6
"Povpreèna stopnja registrirane brezposelnosti po regiji stalnega prebivališèa [%]";"Koroška";10.6;10.1;8.1;7.3;10.9;13.1;13.3;12.2;13.9;13.0;11.5
"Povpreèna stopnja registrirane brezposelnosti po regiji stalnega prebivališèa [%]";"Savinjska";12.7;11.6;9.4;8.0;10.3;11.8;12.7;12.7;13.9;13.9;13.3
"Povpreèna stopnja registrirane brezposelnosti po regiji stalnega prebivališèa [%]";"Zasavska";13.8;12.0;9.7;8.2;11.0;11.9;13.3;14.7;16.6;17.7;15.2
"Povpreèna stopnja registrirane brezposelnosti po regiji stalnega prebivališèa [%]";"Posavska";11.5;10.5;8.9;7.7;10.2;12.2;13.4;13.9;14.8;14.7;13.6
"Povpreèna stopnja registrirane brezposelnosti po regiji stalnega prebivališèa [%]";"Jugovzhodna Slovenija";8.8;8.6;7.0;6.3;8.9;10.0;11.6;12.8;14.1;13.9;13.0
"Povpreèna stopnja registrirane brezposelnosti po regiji stalnega prebivališèa [%]";"Osrednjeslovenska";7.6;7.2;5.9;5.0;6.8;8.5;9.9;10.1;11.5;11.7;11.0
"Povpreèna stopnja registrirane brezposelnosti po regiji stalnega prebivališèa [%]";"Gorenjska";7.3;6.4;4.9;4.4;6.9;8.1;8.8;8.9;9.8;9.5;8.6
"Povpreèna stopnja registrirane brezposelnosti po regiji stalnega prebivališèa [%]";"Primorsko-notranjska";7.9;7.0;5.4;4.9;7.1;8.5;10.0;10.4;12.3;11.9;11.1
"Povpreèna stopnja registrirane brezposelnosti po regiji stalnega prebivališèa [%]";"Goriška";6.5;6.2;4.9;4.3;7.1;8.6;10.0;10.3;11.7;11.2;10.3
"Povpreèna stopnja registrirane brezposelnosti po regiji stalnega prebivališèa [%]";"Obalno-kraška";7.5;7.2;6.3;5.2;6.9;7.9;9.6;10.2;11.7;12.1;11.0
"Število prebivalcev na 1 zdravnika [število]";"SLOVENIJA";410.7;409.2;405.4;403.3;402.9;399.3;389.3;379.0;366.4;357.9;346.9
