"Kazalniki skrbi za vse generacije, Slovenija, statistiène regije, letni podatki do 2016"

"KAZALNIK";"STATISTIÈNA REGIJA";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Skupni koeficient starostne odvisnosti [število]";"SLOVENIJA";44.1;44.1;43.7;43.4;43.2;42.8;42.6;42.6;42.4;42.1;42.2;42.4;42.6;42.9;43.7;44.0;44.3;45.1;46.2;47.2;48.5;49.8
"Skupni koeficient starostne odvisnosti [število]";"Pomurska";45.8;46.3;45.5;44.9;44.2;43.5;42.9;42.6;42.0;41.5;41.2;41.1;41.2;41.4;43.4;44.1;44.2;44.5;45.5;46.7;48.0;49.5
"Skupni koeficient starostne odvisnosti [število]";"Podravska";41.5;42.1;41.9;41.5;41.4;41.1;40.9;41.0;41.0;40.8;40.9;41.1;41.3;41.7;42.7;43.4;43.7;44.1;45.0;46.0;47.2;48.6
"Skupni koeficient starostne odvisnosti [število]";"Koroška";42.5;42.4;41.9;41.8;41.6;41.4;41.1;40.8;40.4;40.1;40.1;40.1;40.5;40.8;42.8;43.5;43.8;44.4;45.3;46.3;47.3;48.4
"Skupni koeficient starostne odvisnosti [število]";"Savinjska";43.9;43.9;43.3;42.8;42.7;42.1;41.7;41.6;41.2;40.9;41.0;40.9;41.0;41.2;42.8;43.4;43.9;44.6;45.6;46.6;47.8;49.0
"Skupni koeficient starostne odvisnosti [število]";"Zasavska";45.1;45.2;44.5;44.4;44.4;43.8;43.3;42.6;41.9;41.3;40.8;41.0;41.2;42.2;43.7;44.3;44.3;45.1;46.3;47.2;47.5;49.0
"Skupni koeficient starostne odvisnosti [število]";"Posavska";47.0;47.6;47.1;46.7;46.5;45.7;45.5;45.2;45.0;44.2;43.9;43.8;43.5;43.3;44.5;44.7;44.8;45.6;46.4;47.7;48.8;50.1
"Skupni koeficient starostne odvisnosti [število]";"Jugovzhodna Slovenija";46.9;47.0;46.9;46.4;46.2;46.0;45.7;45.6;45.0;44.5;44.1;43.8;43.8;43.5;44.2;43.9;44.0;44.8;45.9;46.9;48.1;49.2
"Skupni koeficient starostne odvisnosti [število]";"Osrednjeslovenska";43.5;43.2;42.7;42.7;42.7;42.1;42.2;42.3;42.3;42.3;42.6;43.0;43.3;43.9;43.5;43.7;44.2;45.2;46.1;46.9;48.2;49.4
"Skupni koeficient starostne odvisnosti [število]";"Gorenjska";44.9;45.2;44.7;44.6;44.4;43.8;43.9;43.9;43.9;43.7;44.0;44.2;44.7;45.0;45.8;46.4;46.8;47.6;48.9;50.0;51.1;52.5
"Skupni koeficient starostne odvisnosti [število]";"Primorsko-notranjska";48.5;48.2;47.6;46.8;46.1;45.8;45.0;44.8;44.0;43.7;44.0;44.2;44.2;44.0;45.5;45.1;45.1;46.1;47.4;49.2;50.4;51.8
"Skupni koeficient starostne odvisnosti [število]";"Goriška";47.2;46.6;46.0;45.8;45.5;45.1;44.9;44.7;44.7;44.5;44.8;45.0;45.4;45.4;46.8;46.4;46.3;47.6;48.9;50.7;52.4;54.1
"Skupni koeficient starostne odvisnosti [število]";"Obalno-kraška";42.6;42.2;41.5;41.2;41.1;40.8;40.8;40.7;40.4;40.2;40.6;40.7;41.1;41.1;41.8;41.7;41.9;42.9;44.3;45.7;47.7;49.5
"Koeficient starostne odvisnosti mladih [število]";"SLOVENIJA";26.7;26.1;25.2;24.4;23.8;23.0;22.5;21.9;21.3;20.8;20.4;20.1;19.9;19.8;20.1;20.2;20.5;20.8;21.2;21.5;21.9;22.2
"Koeficient starostne odvisnosti mladih [število]";"Pomurska";25.8;25.7;24.8;23.9;23.1;22.3;21.6;21.1;20.4;19.9;19.5;19.1;18.8;18.6;19.0;19.1;19.0;18.9;19.0;19.3;19.5;19.7
"Koeficient starostne odvisnosti mladih [število]";"Podravska";24.5;24.3;23.6;22.8;22.1;21.4;20.8;20.3;19.8;19.3;19.0;18.8;18.6;18.3;18.5;18.6;18.7;18.8;19.1;19.4;19.8;20.1
"Koeficient starostne odvisnosti mladih [število]";"Koroška";27.9;27.1;26.2;25.5;24.8;24.1;23.3;22.6;21.8;21.1;20.7;20.2;19.9;19.7;20.3;20.4;20.4;20.6;20.8;20.8;21.0;21.1
"Koeficient starostne odvisnosti mladih [število]";"Savinjska";27.7;27.1;26.0;25.2;24.6;23.7;23.0;22.5;21.8;21.2;20.9;20.5;20.2;20.0;20.6;20.6;20.9;21.1;21.5;21.8;22.2;22.5
"Koeficient starostne odvisnosti mladih [število]";"Zasavska";25.9;25.2;24.2;23.5;22.9;22.1;21.4;20.6;19.7;19.0;18.4;18.1;18.0;18.1;18.4;18.5;18.5;18.9;19.1;19.3;20.5;20.7
