"Kazalnik vlaganja v razvoj, Slovenija, statistiène regije, letni podatki do 2014"

"KAZALNIK";"STATISTIÈNA REGIJA";"VIR FINANCIRANJA";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"SLOVENIJA";"Viri financiranja - SKUPAJ";100;100;100;100;100;100;100;100;100;100;100;100
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"SLOVENIJA";"Gospodarske družbe";75.4;81.9;86.2;90.1;89.1;90.8;83.9;80.1;61.2;79.0;80.6;85.5
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"SLOVENIJA";"Državni viri";13.1;4.9;6.9;5.6;8.0;5.7;11.8;15.6;31.7;13.8;12.6;7.7
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"SLOVENIJA";"Zasebne nepridobitne organizacije";0.1;0.1;0.0;0.2;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.0
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"SLOVENIJA";"Viri iz tujine";11.4;13.2;6.9;4.0;2.9;3.6;4.4;4.2;7.0;7.0;6.8;6.8
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Pomurska";"Viri financiranja - SKUPAJ";100;100;100;100;100;100;100;100;100;100;100;100
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Pomurska";"Gospodarske družbe";92.2;91.1;88.0;72.4;96.5;89.8;90.2;88.5;92.1;73.8;79.0;78.9
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Pomurska";"Državni viri";7.9;8.8;7.9;3.9;2.0;6.4;9.0;11.3;7.5;26.2;20.7;20.1
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Pomurska";"Zasebne nepridobitne organizacije";0.0;0.0;0.0;23.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Pomurska";"Viri iz tujine";0.0;0.0;4.0;0.7;1.5;3.8;0.8;0.3;0.4;0.0;0.3;0.9
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Podravska";"Viri financiranja - SKUPAJ";100;100;100;100;100;100;100;100;100;100;100;100
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Podravska";"Gospodarske družbe";88.3;86.0;89.8;82.3;78.7;81.4;84.5;72.2;45.8;65.1;79.9;84.4
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Podravska";"Državni viri";10.0;12.9;9.6;16.9;20.9;16.2;14.8;24.0;47.1;28.6;14.5;9.6
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Podravska";"Zasebne nepridobitne organizacije";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
